Ramas de actividad,Año,Total,Código
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,31456531,8
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,31242312,8
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,32731702,8
añadido bruto total,2021,157172903,8
añadido bruto total,2020,146163042,8
añadido bruto total,2019,162521314,8
netos sobre los productos,2021,16548982,8
netos sobre los productos,2020,14017302,8
netos sobre los productos,2019,16673980,8
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,173721885,8
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,160180344,8
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,179195294,8
"Agricultura, ganadería, silvicultura y pesca",2021,70267,48
"Agricultura, ganadería, silvicultura y pesca",2020,73997,48
"Agricultura, ganadería, silvicultura y pesca",2019,80500,48
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,6216317,48
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,5610559,48
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,6422101,48
- De las cuales: Industria manufacturera,2021,4877367,48
- De las cuales: Industria manufacturera,2020,4163901,48
- De las cuales: Industria manufacturera,2019,4878649,48
Construcción,2021,2531960,48
Construcción,2020,2501960,48
Construcción,2019,2775398,48
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,7637754,48
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,6701292,48
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,8332364,48
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,8394418,48
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,8114266,48
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,8238406,48
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,7219464,48
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,7045343,48
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,7497822,48
añadido bruto total,2021,32070180,48
añadido bruto total,2020,30047417,48
